"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test: 197_LogSadminBtn.spec.js","5000","197_LogSadminBtn.spec.js","","2026-02-13","failed","2026-02-13","","Login","",""
"Test: 518VerifyLogoutFunctionality.spec.js","5000","518VerifyLogoutFunctionality.spec.js","","2026-02-13","failed","2026-02-13","","Logout","",""
"Test: 459_BehaviourofEmailonRestPass.spec.js","5000","459_BehaviourofEmailonRestPass.spec.js","","2026-02-13","failed","2026-02-13","","Login","",""
"Test: 198_RedirectionOfLoginSadmin.spec.js","5000","198_RedirectionOfLoginSadmin.spec.js","","2026-02-13","passed","2026-02-13","","Login","",""
"Test: 531_ValidateUserTypeDropdown.spec.js","5000","531_ValidateUserTypeDropdown.spec.js","","2026-02-13","failed","2026-02-13","","Add Hospital","",""
"Test: 539_VerifyIssuerUrlFormat.spec.js","5000","539_VerifyIssuerUrlFormat.spec.js","","2026-02-13","failed","2026-02-13","","Add Hospital","",""
"Test: 525_VerifyImagesUnder5MBAllowed..spec.js","5000","525_VerifyImagesUnder5MBAllowed..spec.js","","2026-02-13","failed","2026-02-13","","Add Hospital","",""
"Test: 321_LoginwithValidcred.fixed.spec.js","5000","321_LoginwithValidcred.fixed.spec.js","","2026-02-13","passed","2026-02-13","","Login","",""
"Test: 203_Don'tRememberURPasswrd.spec.js","5000","203_Don'tRememberURPasswrd.spec.js","","2026-02-13","failed","2026-02-13","","Login","",""
"Test: 530_VerifyPhoneNumberFieldLengthValidation.spec.js","5000","530_VerifyPhoneNumberFieldLengthValidation.spec.js","","2026-02-13","failed","2026-02-13","","Add Hospital","",""
"Test: 312_BehaviourOfMailField.spec.js","5000","312_BehaviourOfMailField.spec.js","","2026-02-13","failed","2026-02-13","","Login","",""
"Test: 318_ValidationLoginFields.spec.js","5000","318_ValidationLoginFields.spec.js","","2026-02-13","passed","2026-02-13","","Login","",""
"Test: 526_ValidateHospitalNameRequired.spec.js","5000","526_ValidateHospitalNameRequired.spec.js","","2026-02-13","passed","2026-02-13","","Add Hospital","",""
"Test: 535_InvalidAudienceUrlValidation.spec.js","5000","535_InvalidAudienceUrlValidation.spec.js","","2026-02-13","failed","2026-02-13","","Add Hospital","",""
"Test: 503_HospColumnsValidation.spec.js","5000","503_HospColumnsValidation.spec.js","","2026-02-13","failed","2026-02-13","","Dashboard","",""
"Test: 534_ValidateProviderConfigInput.spec.js","5000","534_ValidateProviderConfigInput.spec.js","","2026-02-13","failed","2026-02-13","","Add Hospital","",""
"Test: 541_ValidateCopyFunctionality.spec.js","5000","541_ValidateCopyFunctionality.spec.js","","2026-02-13","failed","2026-02-13","","Dashboard","",""
"Test: 315_PasswrdBehaviour.spec.js","5000","315_PasswrdBehaviour.spec.js","","2026-02-13","passed","2026-02-13","","Login","",""
"Test: 522_VerifyUserRestrictedFromCreatingDuplicateHospital.spec.js","5000","522_VerifyUserRestrictedFromCreatingDuplicateHospital.spec.js","","2026-02-13","passed","2026-02-13","","Dashboard","",""
"Test: 513_VerifyClickHospitalViewDetails.spec.js","5000","513_VerifyClickHospitalViewDetails.spec.js","","2026-02-13","passed","2026-02-13","","Dashboard","",""
"Test: 331_VerifyStatusToggleFunctionality.spec.js","5000","331_VerifyStatusToggleFunctionality.spec.js","","2026-02-13","passed","2026-02-13","","Toggle button","",""
"Test: 537_VerifyProviderAuthConfigurationSectionVisible.spec.js","5000","537_VerifyProviderAuthConfigurationSectionVisible.spec.js","","2026-02-13","failed","2026-02-13","","Add Hospital","",""
"Test: 517_VerifyNavigationToSettings.spec.js","5000","517_VerifyNavigationToSettings.spec.js","","2026-02-13","failed","2026-02-13","","Dashboard","",""
"Test: 519_AddNewHospitalOpens.spec.js","5000","519_AddNewHospitalOpens.spec.js","","2026-02-13","failed","2026-02-13","","Add Hospital","",""
"Test: 527_VerifyHospitalCreatedSuccessfullyWithValidData.spec.js","5000","527_VerifyHospitalCreatedSuccessfullyWithValidData.spec.js","","2026-02-13","failed","2026-02-13","","Dashboard","",""
"Test: 322_ReLoginAfterLogin.spec.js","5000","322_ReLoginAfterLogin.spec.js","","2026-02-13","failed","2026-02-13","","Login","",""
"Test: 523_VerifyImageSelectorAllowsOnlyValidHospitalIcons.spec.js","5000","523_VerifyImageSelectorAllowsOnlyValidHospitalIcons.spec.js","","2026-02-13","passed","2026-02-13","","Add Hospital","",""
"Test: 328_CaseSensitivityCheckforLogin.spec.js","5000","328_CaseSensitivityCheckforLogin.spec.js","","2026-02-13","failed","2026-02-13","","Login","",""
"Test: 319_RedirectionAfterAuth0Login.spec.js","5000","319_RedirectionAfterAuth0Login.spec.js","","2026-02-13","passed","2026-02-13","","Dashboard","",""
"Test: 524_VerifyImageSelectorRejectsInvalidImages.spec.js","5000","524_VerifyImageSelectorRejectsInvalidImages.spec.js","","2026-02-13","passed","2026-02-13","","Add Hospital","",""
"Test: 323_InvalidEmail.spec.js","5000","323_InvalidEmail.spec.js","","2026-02-13","passed","2026-02-13","","Login","",""
"Test: 327_UnregisteredUserLogin.spec.js","5000","327_UnregisteredUserLogin.spec.js","","2026-02-13","passed","2026-02-13","","Login","",""
"Test: 520_VerifyMandatoryFieldsValidation.spec.js","5000","520_VerifyMandatoryFieldsValidation.spec.js","","2026-02-13","failed","2026-02-13","","Add Hospital","",""
"Test: 538_VerifyClientIdReadOnly.spec.js","5000","538_VerifyClientIdReadOnly.spec.js","","2026-02-13","failed","2026-02-13","","Add Hospital","",""
"Test: 533_VerifyTenantIdValidation.spec.js","5000","533_VerifyTenantIdValidation.spec.js","","2026-02-13","failed","2026-02-13","","Add Hospital","",""
"Test: 324_IncorrectPasswrd.spec.js","5000","324_IncorrectPasswrd.spec.js","","2026-02-13","passed","2026-02-13","","Login","",""
"Test: 316_PasswrdEncryption.spec.spec.js","5000","316_PasswrdEncryption.spec.spec.js","","2026-02-13","passed","2026-02-13","","Login","",""
"Test: 536_ValidateDescriptionFieldLimit.spec.js","5000","536_ValidateDescriptionFieldLimit.spec.js","","2026-02-13","failed","2026-02-13","","Add Hospital","",""
"Test: 529_VerifyPhoneNumberFieldValidation.spec.js","5000","529_VerifyPhoneNumberFieldValidation.spec.js","","2026-02-13","passed","2026-02-13","","Add Hospital","",""
"Test: 196_URLValidation.spec.js","5000","196_URLValidation.spec.js","","2026-02-13","passed","2026-02-13","","Login","",""
"Test: 521_VerifyNewHospitalShownInActiveList.spec.js","5000","521_VerifyNewHospitalShownInActiveList.spec.js","","2026-02-13","failed","2026-02-13","","Logout","",""
"Test: 540_VerifyProviderValueVisible.spec.js","5000","540_VerifyProviderValueVisible.spec.js","","2026-02-13","failed","2026-02-13","","Add Hospital","",""
"Test: 504_VerifyHospitalActiveInactive.spec.js","5000","504_VerifyHospitalActiveInactive.spec.js","","2026-02-13","passed","2026-02-13","","Toggle button","",""
"Test: 528_VerifyErrorMessageShownForIncorrectEmail.spec.js","5000","528_VerifyErrorMessageShownForIncorrectEmail.spec.js","","2026-02-13","passed","2026-02-13","","Dashboard","",""
"Test: 498_DashboardIsVisible.spec.js","5000","498_DashboardIsVisible.spec.js","","2026-02-13","passed","2026-02-13","","Dashboard","",""
"Test: 502_AddHospBtnVisibility.spec.js","5000","502_AddHospBtnVisibility.spec.js","","2026-02-13","passed","2026-02-13","","Add Hospital","",""
"Test: 500_VerifyStatusToggleFunctional.spec.js","5000","500_VerifyStatusToggleFunctional.spec.js","","2026-02-13","passed","2026-02-13","","Toggle button","",""
"Test: 202_LoginBtn.spec.js","5000","202_LoginBtn.spec.js","","2026-02-13","failed","2026-02-13","","Login","",""
"Test: 501_ActiveHospselectedbydefault.spec.js","5000","501_ActiveHospselectedbydefault.spec.js","","2026-02-13","failed","2026-02-13","","Dashboard","",""
"Test: 532_VerifyCancelButtonFunctionality.spec.js","5000","532_VerifyCancelButtonFunctionality.spec.js","","2026-02-13","passed","2026-02-13","","Add Hospital","",""
"Test: 321_LoginwithValidcred.spec.js","5000","321_LoginwithValidcred.spec.js","","2026-02-13","passed","2026-02-13","","Login","",""
"Test: 518_VerifyLogoutFunctionality.spec.js","5000","518_VerifyLogoutFunctionality.spec.js","","2026-02-13","failed","2026-02-13","","Logout","",""
"Test: 336_VerifyHospitalStatusToggleButton.spec.js","5000","336_VerifyHospitalStatusToggleButton.spec.js","","2026-02-13","passed","2026-02-13","","Toggle button","",""
"Test: 542_NegativeInvalidUrlRender.spec.js","5000","542_NegativeInvalidUrlRender.spec.js","","2026-02-13","failed","2026-02-13","","Login","",""
